30000,0.05201530456542969,Bucket Sort,Nao,1000,3
30000,3.0571932792663574,Bucket Sort,Sim,10,3
30000,0.35237717628479004,Bucket Sort,Sim,100,3
30000,0.06853485107421875,Bucket Sort,Sim,1000,3
100,0.0,Insertion Sort,Nao,0,4
100,0.013000249862670898,Insertion Sort,Sim,0,4
100,0.0,Bucket Sort,Nao,10,4
100,0.0,Bucket Sort,Nao,100,4
100,0.0010004043579101562,Bucket Sort,Nao,1000,4
100,0.012538433074951172,Bucket Sort,Sim,10,4
100,0.014001607894897461,Bucket Sort,Sim,100,4
100,0.01599907875061035,Bucket Sort,Sim,1000,4
200,0.001998424530029297,Insertion Sort,Nao,0,4
200,0.016005516052246094,Insertion Sort,Sim,0,4
200,0.0010013580322265625,Bucket Sort,Nao,10,4
200,0.0010037422180175781,Bucket Sort,Nao,100,4
200,0.0009987354278564453,Bucket Sort,Nao,1000,4
200,0.01313018798828125,Bucket Sort,Sim,10,4
200,0.01400303840637207,Bucket Sort,Sim,100,4
200,0.015002012252807617,Bucket Sort,Sim,1000,4
500,0.0069959163665771484,Insertion Sort,Nao,0,4
500,0.016007661819458008,Insertion Sort,Sim,0,4
500,0.0,Bucket Sort,Nao,10,4
500,0.0,Bucket Sort,Nao,100,4
500,0.00099945068359375,Bucket Sort,Nao,1000,4
500,0.014997482299804688,Bucket Sort,Sim,10,4
500,0.013999700546264648,Bucket Sort,Sim,100,4
500,0.018002986907958984,Bucket Sort,Sim,1000,4
1000,0.030539751052856445,Insertion Sort,Nao,0,4
1000,0.024000167846679688,Insertion Sort,Sim,0,4
1000,0.0029931068420410156,Bucket Sort,Nao,10,4
1000,0.0010006427764892578,Bucket Sort,Nao,100,4
1000,0.0019996166229248047,Bucket Sort,Nao,1000,4
1000,0.018011093139648438,Bucket Sort,Sim,10,4
1000,0.014532089233398438,Bucket Sort,Sim,100,4
1000,0.023996829986572266,Bucket Sort,Sim,1000,4
2000,0.12151956558227539,Insertion Sort,Nao,0,4
2000,0.0425264835357666,Insertion Sort,Sim,0,4
2000,0.010999202728271484,Bucket Sort,Nao,10,4
2000,0.003003835678100586,Bucket Sort,Nao,100,4
2000,0.003997325897216797,Bucket Sort,Nao,1000,4
2000,0.025538206100463867,Bucket Sort,Sim,10,4
2000,0.017000198364257812,Bucket Sort,Sim,100,4
2000,0.0189971923828125,Bucket Sort,Sim,1000,4
5000,0.8122437000274658,Insertion Sort,Nao,0,4
5000,0.2037336826324463,Insertion Sort,Sim,0,4
5000,0.07150411605834961,Bucket Sort,Nao,10,4
5000,0.008997917175292969,Bucket Sort,Nao,100,4
5000,0.005012035369873047,Bucket Sort,Nao,1000,4
5000,0.1090538501739502,Bucket Sort,Sim,10,4
5000,0.02700209617614746,Bucket Sort,Sim,100,4
5000,0.01999831199645996,Bucket Sort,Sim,1000,4
7500,1.7476446628570557,Insertion Sort,Nao,0,4
7500,0.4278388023376465,Insertion Sort,Sim,0,4
7500,0.18007707595825195,Bucket Sort,Nao,10,4
7500,0.018011093139648438,Bucket Sort,Nao,100,4
7500,0.006999492645263672,Bucket Sort,Nao,1000,4
7500,0.17954492568969727,Bucket Sort,Sim,10,4
7500,0.03252863883972168,Bucket Sort,Sim,100,4
7500,0.01999831199645996,Bucket Sort,Sim,1000,4
10000,3.095766305923462,Insertion Sort,Nao,0,4
10000,0.7672543525695801,Insertion Sort,Sim,0,4
